sex__cat,age__cat,race__cat,marital-status__cat,education__cat,native-country__cat,workclass__cat,occupation__cat,salary-class__cat
Female,27,White,Never-married,Doctorate,United-States,Private,Prof-specialty,<=50K
Female,21,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Female,23,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,30,Black,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,>50K
Female,42,White,Divorced,Assoc-acdm,United-States,Private,Prof-specialty,>50K
Male,29,White,Never-married,HS-grad,United-States,Local-gov,Protective-serv,<=50K
Female,24,Black,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,31,White,Married-civ-spouse,Masters,United-States,Private,Tech-support,>50K
Female,31,White,Widowed,Bachelors,Cuba,Private,Sales,<=50K
Female,36,Black,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Female,42,White,Never-married,Masters,United-States,Private,Exec-managerial,>50K
Male,37,Black,Never-married,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,28,White,Never-married,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K
Male,33,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,22,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,31,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K
Male,51,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,>50K
Male,43,White,Married-civ-spouse,HS-grad,Mexico,Private,Farming-fishing,<=50K
Male,39,White,Married-civ-spouse,Some-college,United-States,Private,Farming-fishing,>50K
Male,44,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,51,Asian-Pac-Islander,Married-civ-spouse,Bachelors,China,Self-emp-not-inc,Sales,>50K
Male,39,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K
Female,19,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,27,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,47,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,41,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Male,31,White,Never-married,Bachelors,United-States,Private,Sales,>50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,State-gov,Prof-specialty,>50K
Male,40,White,Married-civ-spouse,Masters,United-States,State-gov,Prof-specialty,>50K
Male,35,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,>50K
Male,48,White,Married-civ-spouse,7th-8th,United-States,Private,Handlers-cleaners,<=50K
Female,51,White,Widowed,HS-grad,United-States,Private,Other-service,<=50K
Male,48,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
Male,45,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Female,23,Black,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,45,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,38,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,22,Asian-Pac-Islander,Never-married,Bachelors,Taiwan,Private,Sales,<=50K
Male,41,White,Married-civ-spouse,Some-college,United-States,Local-gov,Protective-serv,>50K
Male,21,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,46,White,Married-civ-spouse,Masters,United-States,Self-emp-not-inc,Exec-managerial,>50K
Male,27,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,40,White,Never-married,Bachelors,United-States,Private,Other-service,<=50K
Female,22,White,Never-married,Assoc-voc,United-States,Private,Adm-clerical,<=50K
Male,65,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,24,White,Never-married,Bachelors,United-States,State-gov,Adm-clerical,<=50K
Male,39,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Female,49,Black,Divorced,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,52,White,Divorced,HS-grad,United-States,Federal-gov,Adm-clerical,<=50K
Male,49,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,28,White,Never-married,Some-college,United-States,Self-emp-not-inc,Transport-moving,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,52,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,27,White,Never-married,HS-grad,United-States,Private,Sales,>50K
Female,29,Black,Never-married,11th,United-States,Private,Other-service,<=50K
Male,57,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,<=50K
Male,38,White,Married-civ-spouse,Some-college,United-States,State-gov,Exec-managerial,<=50K
Female,35,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,61,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,>50K
Male,52,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,45,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Sales,<=50K
Male,41,White,Married-civ-spouse,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K
Male,46,Black,Never-married,10th,United-States,Private,Machine-op-inspct,<=50K
Male,24,White,Never-married,Assoc-voc,United-States,Private,Protective-serv,<=50K
Female,28,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,69,White,Married-civ-spouse,Masters,United-States,State-gov,Prof-specialty,<=50K
Female,25,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,42,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Female,26,White,Divorced,HS-grad,United-States,State-gov,Adm-clerical,<=50K
Male,23,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,33,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Adm-clerical,<=50K
Male,46,White,Married-civ-spouse,HS-grad,United-States,State-gov,Tech-support,<=50K
Male,44,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,>50K
Female,37,Asian-Pac-Islander,Never-married,HS-grad,Philippines,Private,Other-service,<=50K
Male,44,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,50,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Sales,>50K
Male,43,White,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,24,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K
Male,27,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Craft-repair,<=50K
Male,20,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Female,18,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,43,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Female,21,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,31,White,Married-civ-spouse,Assoc-voc,United-States,Private,Other-service,<=50K
Male,26,White,Never-married,Bachelors,United-States,Private,Craft-repair,<=50K
Female,45,White,Widowed,11th,United-States,Private,Adm-clerical,<=50K
Male,40,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,28,Black,Never-married,10th,United-States,Private,Machine-op-inspct,<=50K
Female,49,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,59,White,Married-civ-spouse,11th,United-States,Private,Machine-op-inspct,<=50K
Female,48,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Male,31,White,Never-married,7th-8th,United-States,Private,Craft-repair,<=50K
Male,23,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K
Male,45,Black,Never-married,HS-grad,United-States,Federal-gov,Transport-moving,<=50K
Female,25,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,42,White,Married-civ-spouse,Bachelors,United-States,Private,Tech-support,>50K
Male,41,White,Divorced,Some-college,United-States,Self-emp-not-inc,Craft-repair,<=50K
Female,28,Asian-Pac-Islander,Married-civ-spouse,7th-8th,China,Private,Machine-op-inspct,<=50K
Female,26,White,Never-married,HS-grad,United-States,Local-gov,Adm-clerical,<=50K
Male,39,White,Married-civ-spouse,Some-college,United-States,Private,Farming-fishing,<=50K
Male,37,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,29,White,Married-civ-spouse,Bachelors,Nicaragua,State-gov,Prof-specialty,<=50K
Male,68,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,45,Asian-Pac-Islander,Married-civ-spouse,HS-grad,South,Self-emp-not-inc,Sales,>50K
Female,31,Black,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
Male,29,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,75,White,Married-spouse-absent,Masters,United-States,Self-emp-not-inc,Prof-specialty,<=50K
Male,35,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,66,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Female,57,Black,Never-married,Some-college,Jamaica,Private,Adm-clerical,<=50K
Male,36,White,Never-married,Doctorate,England,Private,Prof-specialty,<=50K
Male,17,White,Never-married,10th,United-States,Self-emp-not-inc,Adm-clerical,<=50K
Female,47,Asian-Pac-Islander,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Male,25,Black,Never-married,HS-grad,United-States,Federal-gov,Adm-clerical,<=50K
Female,51,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Male,47,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Other-service,>50K
Male,35,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Male,43,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Sales,>50K
Male,58,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Farming-fishing,<=50K
Female,27,White,Never-married,Masters,United-States,Private,Exec-managerial,<=50K
Male,46,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,41,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Male,45,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,42,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,63,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Sales,>50K
Female,22,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,30,White,Married-civ-spouse,9th,Mexico,Private,Handlers-cleaners,<=50K
Female,25,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,27,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,45,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Female,64,White,Divorced,HS-grad,United-States,Local-gov,Adm-clerical,<=50K
Female,39,White,Divorced,Bachelors,United-States,Private,Exec-managerial,<=50K
Female,19,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,41,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Female,17,White,Never-married,10th,United-States,Private,Sales,<=50K
Male,41,Asian-Pac-Islander,Married-civ-spouse,Masters,Taiwan,Private,Prof-specialty,>50K
Female,31,Amer-Indian-Eskimo,Never-married,Assoc-acdm,United-States,Local-gov,Adm-clerical,<=50K
Male,56,White,Married-civ-spouse,11th,United-States,Private,Farming-fishing,<=50K
Male,32,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Male,29,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Male,25,White,Never-married,12th,United-States,Private,Machine-op-inspct,<=50K
Male,55,White,Married-civ-spouse,9th,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,61,White,Married-civ-spouse,9th,United-States,Private,Machine-op-inspct,<=50K
Male,61,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,>50K
Female,44,Black,Never-married,Some-college,United-States,Local-gov,Other-service,<=50K
Male,23,White,Never-married,Assoc-acdm,United-States,Private,Craft-repair,<=50K
Female,24,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Adm-clerical,<=50K
Female,46,White,Divorced,HS-grad,United-States,Private,Sales,<=50K
Female,30,White,Married-civ-spouse,Assoc-voc,Canada,Private,Tech-support,>50K
Female,23,White,Never-married,11th,United-States,Private,Transport-moving,<=50K
Male,18,White,Never-married,11th,United-States,Private,Adm-clerical,<=50K
Male,51,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,46,White,Married-civ-spouse,Assoc-voc,United-States,Private,Craft-repair,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Female,27,Black,Separated,HS-grad,United-States,Federal-gov,Exec-managerial,<=50K
Male,34,Black,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,>50K
Male,41,White,Married-civ-spouse,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,27,Other,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,51,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,33,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,State-gov,Sales,<=50K
Female,48,White,Divorced,Assoc-voc,United-States,State-gov,Prof-specialty,>50K
Male,30,White,Married-civ-spouse,HS-grad,United-States,State-gov,Adm-clerical,<=50K
Female,20,White,Never-married,9th,Nicaragua,Private,Machine-op-inspct,<=50K
Male,40,Black,Separated,Some-college,United-States,Private,Exec-managerial,<=50K
Female,35,White,Separated,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,31,Black,Never-married,HS-grad,United-States,Private,Sales,<=50K
Female,54,White,Widowed,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Female,17,Black,Never-married,11th,United-States,Private,Other-service,<=50K
Male,18,White,Never-married,10th,United-States,Private,Sales,<=50K
Male,47,White,Separated,Masters,United-States,State-gov,Prof-specialty,<=50K
Female,53,Black,Widowed,HS-grad,United-States,Private,Other-service,<=50K
Female,69,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Other-service,<=50K
Female,28,White,Divorced,10th,United-States,Private,Sales,<=50K
Male,40,White,Never-married,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Male,47,White,Married-civ-spouse,Masters,United-States,Private,Sales,>50K
Female,44,White,Never-married,1st-4th,El-Salvador,Private,Machine-op-inspct,<=50K
Male,47,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Protective-serv,>50K
Female,38,White,Married-civ-spouse,Assoc-acdm,United-States,Federal-gov,Adm-clerical,>50K
Male,56,White,Married-civ-spouse,11th,United-States,Private,Craft-repair,<=50K
Female,19,White,Married-AF-spouse,HS-grad,United-States,Federal-gov,Sales,<=50K
Female,34,White,Divorced,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,40,White,Married-spouse-absent,HS-grad,United-States,Private,Other-service,<=50K
Male,46,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Female,24,White,Never-married,11th,United-States,Private,Machine-op-inspct,<=50K
Male,56,Black,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Female,28,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,35,White,Married-civ-spouse,10th,United-States,Private,Transport-moving,<=50K
Male,50,White,Married-civ-spouse,Some-college,United-States,Local-gov,Adm-clerical,<=50K
Female,26,Black,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,53,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,61,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K
Male,37,White,Never-married,Masters,United-States,Private,Exec-managerial,>50K
Male,46,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
Male,38,White,Married-civ-spouse,HS-grad,Mexico,Private,Handlers-cleaners,<=50K
Male,26,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,<=50K
Male,57,Asian-Pac-Islander,Married-civ-spouse,Prof-school,Philippines,Private,Craft-repair,>50K
Male,22,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Female,48,White,Divorced,Bachelors,United-States,Private,Sales,<=50K
Male,59,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K
Female,48,Black,Divorced,11th,United-States,Private,Other-service,<=50K
Male,35,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K
Male,60,White,Married-civ-spouse,9th,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Female,24,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,46,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Male,21,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K
Male,43,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,<=50K
Male,44,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,35,Black,Never-married,12th,Trinadad&Tobago,Self-emp-not-inc,Other-service,<=50K
Male,30,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Protective-serv,>50K
Female,40,White,Widowed,HS-grad,United-States,Private,Sales,<=50K
Female,54,Asian-Pac-Islander,Never-married,Bachelors,United-States,State-gov,Prof-specialty,>50K
Male,47,White,Widowed,10th,United-States,Private,Machine-op-inspct,<=50K
Female,59,White,Widowed,HS-grad,United-States,Private,Prof-specialty,<=50K
Male,32,White,Married-civ-spouse,Some-college,Greece,Private,Craft-repair,<=50K
Male,59,White,Married-civ-spouse,Bachelors,United-States,Private,Craft-repair,>50K
Female,57,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Sales,>50K
Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K
Male,42,White,Separated,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,49,White,Married-civ-spouse,11th,United-States,State-gov,Adm-clerical,<=50K
Male,31,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Male,32,White,Married-civ-spouse,Assoc-acdm,United-States,State-gov,Craft-repair,<=50K
Female,33,White,Divorced,11th,United-States,Private,Exec-managerial,>50K
Female,31,White,Divorced,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Male,37,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Tech-support,>50K
Female,32,White,Divorced,Some-college,United-States,Private,Farming-fishing,<=50K
Male,26,Black,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,24,White,Separated,HS-grad,United-States,Private,Other-service,<=50K
Male,44,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,46,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Sales,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,23,White,Never-married,Some-college,United-States,Self-emp-inc,Prof-specialty,<=50K
Male,46,Black,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Female,31,White,Never-married,Bachelors,United-States,Local-gov,Exec-managerial,<=50K
Male,41,White,Divorced,Assoc-voc,United-States,Private,Sales,<=50K
Male,39,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,18,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,46,Black,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Female,46,White,Never-married,Masters,United-States,State-gov,Exec-managerial,<=50K
Male,30,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,17,White,Never-married,10th,United-States,Private,Other-service,<=50K
Male,49,White,Married-civ-spouse,Doctorate,United-States,State-gov,Exec-managerial,>50K
Male,36,White,Married-civ-spouse,Assoc-acdm,United-States,Self-emp-inc,Exec-managerial,>50K
Male,41,Asian-Pac-Islander,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,24,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Male,35,White,Married-civ-spouse,7th-8th,Mexico,Private,Machine-op-inspct,<=50K
Male,73,White,Married-civ-spouse,HS-grad,Canada,Private,Transport-moving,<=50K
Male,33,Asian-Pac-Islander,Married-civ-spouse,Bachelors,United-States,Private,Other-service,>50K
Male,62,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Prof-specialty,>50K
Male,43,Other,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,<=50K
Male,40,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,18,White,Never-married,11th,United-States,Private,Sales,<=50K
Male,20,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Female,29,Other,Divorced,HS-grad,Germany,Private,Prof-specialty,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
Female,23,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Transport-moving,<=50K
Male,26,White,Married-AF-spouse,Some-college,United-States,Private,Protective-serv,<=50K
Male,33,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,53,White,Married-civ-spouse,7th-8th,United-States,Private,Transport-moving,>50K
Male,25,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,51,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,25,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K
Female,24,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,24,White,Never-married,Bachelors,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,49,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,28,White,Separated,Some-college,United-States,Private,Tech-support,>50K
Male,60,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,50,Black,Married-civ-spouse,HS-grad,United-States,State-gov,Craft-repair,>50K
Male,30,Black,Married-civ-spouse,HS-grad,United-States,Local-gov,Protective-serv,<=50K
Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,30,White,Separated,7th-8th,United-States,Private,Handlers-cleaners,<=50K
Male,36,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,51,White,Married-civ-spouse,Assoc-voc,United-States,Self-emp-inc,Exec-managerial,<=50K
Male,23,White,Never-married,HS-grad,El-Salvador,Private,Other-service,<=50K
Male,48,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,51,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,75,Black,Widowed,5th-6th,United-States,Private,Other-service,<=50K
Male,28,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,17,White,Never-married,11th,United-States,Private,Sales,<=50K
Male,40,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Female,21,Black,Never-married,HS-grad,Jamaica,Private,Adm-clerical,<=50K
