sex__cat;age__cat;race__cat;marital-status__cat;education__cat;native-country__cat;workclass__cat;occupation__cat;salary-class__cat
Male;38;Amer-Indian-Eskimo;Never-married;Bachelors;United-States;Non-Government;Craft-repair;<=50K
Male;38;Amer-Indian-Eskimo;Never-married;HS-grad;United-States;Non-Government;Craft-repair;<=50K
Male;32;Amer-Indian-Eskimo;Separated;Some-college;United-States;Non-Government;Tech-support;<=50K
Female;40;Amer-Indian-Eskimo;Separated;Some-college;United-States;Non-Government;Sales;<=50K
Female;58;Amer-Indian-Eskimo;Widowed;Some-college;United-States;Government;Prof-specialty;<=50K
Female;61;Amer-Indian-Eskimo;Widowed;HS-grad;United-States;Government;Adm-clerical;<=50K
Female;36;Asian-Pac-Islander;Divorced;Assoc-acdm;Taiwan;Non-Government;Exec-managerial;<=50K
Female;37;Asian-Pac-Islander;Divorced;HS-grad;Philippines;Non-Government;Machine-op-inspct;<=50K
Female;37;Asian-Pac-Islander;Divorced;HS-grad;South;Non-Government;Exec-managerial;>50K
Female;38;Asian-Pac-Islander;Divorced;10th;Portugal;Non-Government;Machine-op-inspct;<=50K
Female;38;Asian-Pac-Islander;Divorced;Bachelors;Philippines;Non-Government;Adm-clerical;<=50K
Male;42;Asian-Pac-Islander;Divorced;Masters;India;Non-Government;Exec-managerial;>50K
Female;47;Asian-Pac-Islander;Divorced;HS-grad;United-States;Non-Government;Other-service;<=50K
Female;48;Asian-Pac-Islander;Divorced;HS-grad;South;Non-Government;Handlers-cleaners;<=50K
Male;55;Asian-Pac-Islander;Divorced;Assoc-acdm;United-States;Government;Adm-clerical;<=50K
Female;24;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Philippines;Non-Government;Prof-specialty;<=50K
Male;27;Asian-Pac-Islander;Married-civ-spouse;HS-grad;United-States;Government;Handlers-cleaners;<=50K
Female;28;Asian-Pac-Islander;Married-civ-spouse;7th-8th;China;Non-Government;Machine-op-inspct;<=50K
Male;29;Asian-Pac-Islander;Married-civ-spouse;Assoc-voc;United-States;Non-Government;Craft-repair;>50K
Male;33;Asian-Pac-Islander;Married-civ-spouse;Bachelors;United-States;Non-Government;Other-service;>50K
Male;34;Asian-Pac-Islander;Married-civ-spouse;Masters;India;Non-Government;Prof-specialty;>50K
Male;34;Asian-Pac-Islander;Married-civ-spouse;Masters;Taiwan;Non-Government;Exec-managerial;>50K
Male;35;Asian-Pac-Islander;Married-civ-spouse;Masters;Hong;Non-Government;Exec-managerial;>50K
Female;36;Asian-Pac-Islander;Married-civ-spouse;HS-grad;China;Government;Adm-clerical;>50K
Male;36;Asian-Pac-Islander;Married-civ-spouse;Assoc-voc;United-States;Government;Other-service;<=50K
Male;36;Asian-Pac-Islander;Married-civ-spouse;Bachelors;United-States;Government;Prof-specialty;<=50K
Male;37;Asian-Pac-Islander;Married-civ-spouse;Bachelors;China;Non-Government;Other-service;<=50K
Male;38;Asian-Pac-Islander;Married-civ-spouse;Some-college;Philippines;Non-Government;Other-service;<=50K
Male;40;Asian-Pac-Islander;Married-civ-spouse;Some-college;China;Non-Government;Exec-managerial;<=50K
Male;40;Asian-Pac-Islander;Married-civ-spouse;Bachelors;China;Non-Government;Exec-managerial;>50K
Male;40;Asian-Pac-Islander;Married-civ-spouse;Masters;Philippines;Government;Tech-support;>50K
Male;41;Asian-Pac-Islander;Married-civ-spouse;7th-8th;China;Non-Government;Craft-repair;<=50K
Male;41;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Vietnam;Non-Government;Other-service;<=50K
Male;41;Asian-Pac-Islander;Married-civ-spouse;HS-grad;China;Non-Government;Other-service;<=50K
Male;41;Asian-Pac-Islander;Married-civ-spouse;Masters;Taiwan;Non-Government;Prof-specialty;>50K
Male;42;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Philippines;Non-Government;Other-service;>50K
Male;42;Asian-Pac-Islander;Married-civ-spouse;HS-grad;United-States;Non-Government;Tech-support;>50K
Male;42;Asian-Pac-Islander;Married-civ-spouse;Prof-school;India;Government;Prof-specialty;>50K
Male;43;Asian-Pac-Islander;Married-civ-spouse;Assoc-acdm;United-States;Non-Government;Tech-support;<=50K
Male;45;Asian-Pac-Islander;Married-civ-spouse;Bachelors;United-States;Government;Farming-fishing;>50K
Male;45;Asian-Pac-Islander;Married-civ-spouse;HS-grad;South;Non-Government;Sales;>50K
Male;45;Asian-Pac-Islander;Married-civ-spouse;Prof-school;India;Non-Government;Prof-specialty;>50K
Male;46;Asian-Pac-Islander;Married-civ-spouse;Bachelors;Philippines;Government;Prof-specialty;>50K
Male;46;Asian-Pac-Islander;Married-civ-spouse;Bachelors;United-States;Government;Prof-specialty;>50K
Male;48;Asian-Pac-Islander;Married-civ-spouse;HS-grad;South;Non-Government;Exec-managerial;<=50K
Male;49;Asian-Pac-Islander;Married-civ-spouse;Some-college;United-States;Non-Government;Craft-repair;>50K
Male;50;Asian-Pac-Islander;Married-civ-spouse;Prof-school;Philippines;Non-Government;Prof-specialty;>50K
Male;51;Asian-Pac-Islander;Married-civ-spouse;Bachelors;China;Non-Government;Sales;>50K
Female;52;Asian-Pac-Islander;Married-civ-spouse;HS-grad;China;Non-Government;Machine-op-inspct;<=50K
Female;52;Asian-Pac-Islander;Married-civ-spouse;Some-college;United-States;Government;Exec-managerial;>50K
Male;52;Asian-Pac-Islander;Married-civ-spouse;HS-grad;Philippines;Non-Government;Handlers-cleaners;<=50K
Male;53;Asian-Pac-Islander;Married-civ-spouse;Bachelors;China;Non-Government;Exec-managerial;>50K
Male;53;Asian-Pac-Islander;Married-civ-spouse;Bachelors;India;Non-Government;Exec-managerial;>50K
Male;54;Asian-Pac-Islander;Married-civ-spouse;Masters;India;Government;Prof-specialty;>50K
Male;54;Asian-Pac-Islander;Married-civ-spouse;Prof-school;Philippines;Non-Government;Prof-specialty;>50K
Male;57;Asian-Pac-Islander;Married-civ-spouse;HS-grad;South;Non-Government;Craft-repair;>50K
Male;57;Asian-Pac-Islander;Married-civ-spouse;Prof-school;Philippines;Non-Government;Craft-repair;>50K
Female;60;Asian-Pac-Islander;Married-civ-spouse;11th;Hong;Non-Government;Machine-op-inspct;<=50K
Male;64;Asian-Pac-Islander;Married-civ-spouse;Doctorate;China;Government;Prof-specialty;>50K
Male;90;Asian-Pac-Islander;Married-civ-spouse;Assoc-acdm;Philippines;Government;Adm-clerical;<=50K
Male;29;Asian-Pac-Islander;Married-spouse-absent;HS-grad;India;Non-Government;Transport-moving;>50K
Female;31;Asian-Pac-Islander;Married-spouse-absent;11th;India;Non-Government;Sales;<=50K
Male;61;Asian-Pac-Islander;Married-spouse-absent;Preschool;China;Non-Government;Other-service;<=50K
Female;18;Asian-Pac-Islander;Never-married;11th;United-States;Non-Government;Adm-clerical;<=50K
Female;21;Asian-Pac-Islander;Never-married;Some-college;Vietnam;Non-Government;Adm-clerical;<=50K
Female;22;Asian-Pac-Islander;Never-married;Some-college;South;Non-Government;Prof-specialty;<=50K
Female;22;Asian-Pac-Islander;Never-married;Some-college;United-States;Non-Government;Tech-support;<=50K
Male;22;Asian-Pac-Islander;Never-married;10th;United-States;Non-Government;Transport-moving;<=50K
Male;22;Asian-Pac-Islander;Never-married;Bachelors;Taiwan;Non-Government;Sales;<=50K
Female;23;Asian-Pac-Islander;Never-married;Bachelors;China;Government;Prof-specialty;<=50K
Female;23;Asian-Pac-Islander;Never-married;Some-college;Vietnam;Non-Government;Adm-clerical;<=50K
Male;23;Asian-Pac-Islander;Never-married;HS-grad;Philippines;Non-Government;Machine-op-inspct;<=50K
Male;23;Asian-Pac-Islander;Never-married;HS-grad;Vietnam;Non-Government;Tech-support;<=50K
Male;24;Asian-Pac-Islander;Never-married;Bachelors;United-States;Non-Government;Sales;<=50K
Female;25;Asian-Pac-Islander;Never-married;Some-college;Cambodia;Non-Government;Craft-repair;<=50K
Female;25;Asian-Pac-Islander;Never-married;Some-college;United-States;Non-Government;Other-service;<=50K
Male;25;Asian-Pac-Islander;Never-married;Bachelors;Philippines;Non-Government;Sales;<=50K
Male;26;Asian-Pac-Islander;Never-married;Bachelors;Taiwan;Non-Government;Adm-clerical;<=50K
Male;26;Asian-Pac-Islander;Never-married;Some-college;Philippines;Non-Government;Adm-clerical;<=50K
Female;27;Asian-Pac-Islander;Never-married;Assoc-acdm;Philippines;Non-Government;Other-service;<=50K
Female;27;Asian-Pac-Islander;Never-married;Bachelors;Laos;Non-Government;Adm-clerical;<=50K
Male;27;Asian-Pac-Islander;Never-married;Prof-school;India;Non-Government;Prof-specialty;<=50K
Male;30;Asian-Pac-Islander;Never-married;Some-college;South;Non-Government;Sales;<=50K
Female;31;Asian-Pac-Islander;Never-married;HS-grad;United-States;Non-Government;Sales;<=50K
Male;31;Asian-Pac-Islander;Never-married;HS-grad;United-States;Government;Protective-serv;<=50K
Female;32;Asian-Pac-Islander;Never-married;Bachelors;Philippines;Non-Government;Tech-support;<=50K
Male;34;Asian-Pac-Islander;Never-married;Prof-school;India;Non-Government;Tech-support;>50K
Male;35;Asian-Pac-Islander;Never-married;Bachelors;United-States;Non-Government;Sales;<=50K
Female;36;Asian-Pac-Islander;Never-married;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Female;37;Asian-Pac-Islander;Never-married;HS-grad;Philippines;Non-Government;Other-service;<=50K
Male;41;Asian-Pac-Islander;Never-married;Bachelors;United-States;Non-Government;Adm-clerical;<=50K
Male;41;Asian-Pac-Islander;Never-married;HS-grad;United-States;Non-Government;Exec-managerial;<=50K
Female;43;Asian-Pac-Islander;Never-married;Some-college;United-States;Non-Government;Handlers-cleaners;<=50K
Female;44;Asian-Pac-Islander;Never-married;HS-grad;Laos;Non-Government;Machine-op-inspct;<=50K
Female;54;Asian-Pac-Islander;Never-married;Bachelors;United-States;Government;Prof-specialty;>50K
Male;90;Asian-Pac-Islander;Never-married;Bachelors;United-States;Non-Government;Prof-specialty;<=50K
Female;47;Asian-Pac-Islander;Separated;Masters;India;Non-Government;Machine-op-inspct;<=50K
Female;48;Asian-Pac-Islander;Separated;Bachelors;Philippines;Non-Government;Adm-clerical;<=50K
Male;61;Asian-Pac-Islander;Separated;HS-grad;United-States;Non-Government;Transport-moving;>50K
Female;39;Asian-Pac-Islander;Widowed;Bachelors;Japan;Government;Prof-specialty;<=50K
Female;45;Asian-Pac-Islander;Widowed;Bachelors;Philippines;Non-Government;Other-service;<=50K
Male;55;Asian-Pac-Islander;Widowed;Bachelors;United-States;Non-Government;Farming-fishing;<=50K
Female;29;Black;Divorced;10th;United-States;Non-Government;Machine-op-inspct;<=50K
Female;30;Black;Divorced;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Female;32;Black;Divorced;Assoc-voc;United-States;Non-Government;Other-service;<=50K
Female;33;Black;Divorced;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Female;35;Black;Divorced;HS-grad;United-States;Non-Government;Other-service;<=50K
Female;36;Black;Divorced;Bachelors;United-States;Government;Prof-specialty;<=50K
Female;36;Black;Divorced;HS-grad;United-States;Government;Adm-clerical;<=50K
Female;36;Black;Divorced;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Male;37;Black;Divorced;Assoc-voc;United-States;Non-Government;Machine-op-inspct;<=50K
Female;38;Black;Divorced;Assoc-voc;United-States;Non-Government;Adm-clerical;<=50K
Female;38;Black;Divorced;Some-college;United-States;Non-Government;Exec-managerial;<=50K
Female;39;Black;Divorced;Assoc-acdm;Jamaica;Non-Government;Exec-managerial;<=50K
Female;39;Black;Divorced;HS-grad;United-States;Non-Government;Other-service;<=50K
Female;39;Black;Divorced;HS-grad;United-States;Non-Government;Priv-house-serv;<=50K
Female;39;Black;Divorced;Some-college;United-States;Government;Exec-managerial;<=50K
Female;39;Black;Divorced;Masters;United-States;Non-Government;Exec-managerial;>50K
Female;41;Black;Divorced;Some-college;United-States;Government;Adm-clerical;<=50K
Female;42;Black;Divorced;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Male;43;Black;Divorced;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;44;Black;Divorced;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Female;45;Black;Divorced;10th;Dominican-Republic;Non-Government;Other-service;<=50K
Female;45;Black;Divorced;Bachelors;United-States;Government;Exec-managerial;<=50K
Male;45;Black;Divorced;Prof-school;United-States;Government;Prof-specialty;>50K
Female;48;Black;Divorced;11th;United-States;Non-Government;Other-service;<=50K
Female;49;Black;Divorced;11th;United-States;Non-Government;Machine-op-inspct;<=50K
Female;49;Black;Divorced;Bachelors;United-States;Government;Prof-specialty;<=50K
Female;50;Black;Divorced;HS-grad;United-States;Non-Government;Prof-specialty;<=50K
Female;50;Black;Divorced;Some-college;United-States;Government;Adm-clerical;<=50K
Male;50;Black;Divorced;Assoc-acdm;United-States;Non-Government;Craft-repair;<=50K
Male;50;Black;Divorced;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;51;Black;Divorced;Some-college;United-States;Non-Government;Exec-managerial;<=50K
Female;52;Black;Divorced;11th;United-States;Non-Government;Machine-op-inspct;<=50K
Male;53;Black;Divorced;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Female;54;Black;Divorced;Bachelors;United-States;Non-Government;Sales;<=50K
Female;55;Black;Divorced;HS-grad;United-States;Non-Government;Prof-specialty;<=50K
Female;56;Black;Divorced;10th;United-States;Non-Government;Adm-clerical;<=50K
Female;56;Black;Divorced;10th;United-States;Non-Government;Other-service;<=50K
Male;56;Black;Divorced;HS-grad;United-States;Non-Government;Craft-repair;<=50K
Female;57;Black;Divorced;Masters;United-States;Government;Other-service;<=50K
Female;62;Black;Divorced;Bachelors;United-States;Government;Prof-specialty;<=50K
Female;68;Black;Divorced;Some-college;United-States;Government;Adm-clerical;<=50K
Male;68;Black;Divorced;9th;United-States;Non-Government;Farming-fishing;<=50K
Male;23;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Handlers-cleaners;<=50K
Female;24;Black;Married-civ-spouse;Bachelors;United-States;Government;Prof-specialty;<=50K
Female;24;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;25;Black;Married-civ-spouse;Bachelors;United-States;Non-Government;Adm-clerical;<=50K
Male;25;Black;Married-civ-spouse;Some-college;United-States;Government;Protective-serv;<=50K
Female;26;Black;Married-civ-spouse;Bachelors;United-States;Government;Prof-specialty;>50K
Male;26;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Male;26;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Machine-op-inspct;<=50K
Male;27;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Handlers-cleaners;<=50K
Male;27;Black;Married-civ-spouse;Some-college;United-States;Government;Exec-managerial;>50K
Male;28;Black;Married-civ-spouse;9th;Trinadad&Tobago;Government;Craft-repair;>50K
Male;28;Black;Married-civ-spouse;Bachelors;United-States;Government;Protective-serv;>50K
Male;29;Black;Married-civ-spouse;Bachelors;United-States;Government;Exec-managerial;>50K
Female;30;Black;Married-civ-spouse;Bachelors;United-States;Non-Government;Adm-clerical;>50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Government;Protective-serv;<=50K
Male;30;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Craft-repair;<=50K
Male;31;Black;Married-civ-spouse;HS-grad;United-States;Government;Transport-moving;<=50K
Female;32;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Male;32;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Male;33;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Exec-managerial;<=50K
Male;33;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Transport-moving;<=50K
Male;34;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Farming-fishing;<=50K
Male;34;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Male;34;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Adm-clerical;>50K
Female;35;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Craft-repair;>50K
Female;38;Black;Married-civ-spouse;9th;Haiti;Non-Government;Other-service;<=50K
Male;38;Black;Married-civ-spouse;Some-college;United-States;Government;Other-service;<=50K
Male;38;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Craft-repair;<=50K
Female;39;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;39;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Prof-specialty;<=50K
Male;39;Black;Married-civ-spouse;11th;United-States;Non-Government;Other-service;<=50K
Male;40;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Transport-moving;>50K
Female;41;Black;Married-civ-spouse;Some-college;United-States;Government;Adm-clerical;<=50K
Male;41;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Prof-specialty;<=50K
Female;42;Black;Married-civ-spouse;Bachelors;United-States;Non-Government;Craft-repair;>50K
Female;43;Black;Married-civ-spouse;Masters;United-States;Government;Prof-specialty;>50K
Male;44;Black;Married-civ-spouse;9th;United-States;Non-Government;Machine-op-inspct;<=50K
Male;44;Black;Married-civ-spouse;Assoc-voc;United-States;Non-Government;Handlers-cleaners;<=50K
Male;44;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Male;44;Black;Married-civ-spouse;Bachelors;United-States;Non-Government;Prof-specialty;>50K
Male;45;Black;Married-civ-spouse;Some-college;United-States;Government;Adm-clerical;<=50K
Male;45;Black;Married-civ-spouse;HS-grad;United-States;Government;Craft-repair;>50K
Male;45;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Sales;>50K
Female;46;Black;Married-civ-spouse;HS-grad;United-States;Government;Other-service;<=50K
Male;46;Black;Married-civ-spouse;HS-grad;United-States;Government;Machine-op-inspct;<=50K
Male;46;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Craft-repair;<=50K
Male;46;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Machine-op-inspct;>50K
Male;46;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Sales;>50K
Male;46;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Craft-repair;>50K
Male;46;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Protective-serv;>50K
Female;47;Black;Married-civ-spouse;7th-8th;United-States;Non-Government;Machine-op-inspct;<=50K
Female;47;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Adm-clerical;>50K
Male;47;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Sales;<=50K
Male;47;Black;Married-civ-spouse;Some-college;United-States;Government;Adm-clerical;>50K
Male;47;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Tech-support;>50K
Female;48;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Handlers-cleaners;<=50K
Male;48;Black;Married-civ-spouse;10th;United-States;Non-Government;Transport-moving;<=50K
Male;49;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Transport-moving;<=50K
Male;49;Black;Married-civ-spouse;Masters;United-States;Government;Exec-managerial;>50K
Male;50;Black;Married-civ-spouse;Assoc-acdm;United-States;Non-Government;Tech-support;<=50K
Male;50;Black;Married-civ-spouse;HS-grad;United-States;Government;Other-service;<=50K
Male;50;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Transport-moving;<=50K
Male;50;Black;Married-civ-spouse;HS-grad;United-States;Government;Craft-repair;>50K
Male;51;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Transport-moving;<=50K
Female;52;Black;Married-civ-spouse;Masters;United-States;Government;Prof-specialty;>50K
Male;52;Black;Married-civ-spouse;HS-grad;United-States;Government;Protective-serv;>50K
Male;53;Black;Married-civ-spouse;Bachelors;United-States;Non-Government;Exec-managerial;>50K
Female;54;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Other-service;<=50K
Male;54;Black;Married-civ-spouse;Bachelors;Jamaica;Non-Government;Sales;<=50K
Male;54;Black;Married-civ-spouse;Some-college;United-States;Government;Transport-moving;<=50K
Male;54;Black;Married-civ-spouse;Some-college;United-States;Non-Government;Handlers-cleaners;<=50K
Male;55;Black;Married-civ-spouse;10th;United-States;Non-Government;Other-service;<=50K
Male;55;Black;Married-civ-spouse;11th;United-States;Non-Government;Other-service;<=50K
Male;55;Black;Married-civ-spouse;HS-grad;Jamaica;Non-Government;Transport-moving;<=50K
Male;57;Black;Married-civ-spouse;10th;United-States;Non-Government;Machine-op-inspct;<=50K
Male;57;Black;Married-civ-spouse;Some-college;United-States;Government;Handlers-cleaners;>50K
Male;57;Black;Married-civ-spouse;Some-college;United-States;Government;Prof-specialty;>50K
Male;58;Black;Married-civ-spouse;9th;United-States;Non-Government;Machine-op-inspct;<=50K
Female;60;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Other-service;<=50K
Female;61;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Male;66;Black;Married-civ-spouse;HS-grad;United-States;Non-Government;Other-service;<=50K
Male;66;Black;Married-civ-spouse;Doctorate;Jamaica;Government;Prof-specialty;>50K
Male;68;Black;Married-civ-spouse;9th;United-States;Non-Government;Craft-repair;<=50K
Male;18;Black;Married-spouse-absent;HS-grad;Jamaica;Non-Government;Other-service;<=50K
Female;21;Black;Married-spouse-absent;Some-college;United-States;Non-Government;Sales;<=50K
Female;24;Black;Married-spouse-absent;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Female;25;Black;Married-spouse-absent;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Male;34;Black;Married-spouse-absent;11th;United-States;Non-Government;Craft-repair;<=50K
Female;35;Black;Married-spouse-absent;HS-grad;United-States;Non-Government;Other-service;<=50K
Female;44;Black;Married-spouse-absent;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;45;Black;Married-spouse-absent;HS-grad;United-States;Non-Government;Other-service;>50K
Female;47;Black;Married-spouse-absent;HS-grad;Puerto-Rico;Government;Adm-clerical;<=50K
Female;51;Black;Married-spouse-absent;HS-grad;United-States;Non-Government;Sales;<=50K
Male;53;Black;Married-spouse-absent;9th;Haiti;Non-Government;Machine-op-inspct;<=50K
Female;17;Black;Never-married;11th;United-States;Non-Government;Other-service;<=50K
Male;17;Black;Never-married;9th;United-States;Non-Government;Other-service;<=50K
Female;18;Black;Never-married;10th;United-States;Non-Government;Priv-house-serv;<=50K
Female;18;Black;Never-married;Some-college;United-States;Non-Government;Handlers-cleaners;<=50K
Male;18;Black;Never-married;HS-grad;United-States;Government;Adm-clerical;<=50K
Female;19;Black;Never-married;10th;United-States;Non-Government;Other-service;<=50K
Female;19;Black;Never-married;HS-grad;United-States;Non-Government;Other-service;<=50K
Female;20;Black;Never-married;Assoc-voc;United-States;Non-Government;Sales;<=50K
Female;20;Black;Never-married;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;20;Black;Never-married;Some-college;United-States;Non-Government;Adm-clerical;<=50K
Female;20;Black;Never-married;Some-college;United-States;Non-Government;Prof-specialty;<=50K
Female;20;Black;Never-married;Some-college;United-States;Non-Government;Sales;<=50K
Male;20;Black;Never-married;Some-college;Germany;Non-Government;Handlers-cleaners;<=50K
Female;21;Black;Never-married;HS-grad;Jamaica;Non-Government;Adm-clerical;<=50K
Female;21;Black;Never-married;HS-grad;United-States;Non-Government;Adm-clerical;<=50K
Female;21;Black;Never-married;Some-college;United-States;Non-Government;Sales;<=50K
Male;21;Black;Never-married;12th;United-States;Government;Other-service;<=50K
Male;21;Black;Never-married;Assoc-acdm;Jamaica;Non-Government;Other-service;<=50K
Male;21;Black;Never-married;HS-grad;United-States;Non-Government;Protective-serv;<=50K
Female;22;Black;Never-married;HS-grad;United-States;Non-Government;Sales;<=50K
Female;22;Black;Never-married;Some-college;United-States;Government;Protective-serv;<=50K
Male;22;Black;Never-married;Some-college;Dominican-Republic;Non-Government;Adm-clerical;<=50K
Female;23;Black;Never-married;7th-8th;Dominican-Republic;Non-Government;Machine-op-inspct;<=50K
Female;23;Black;Never-married;Some-college;United-States;Non-Government;Machine-op-inspct;<=50K
Male;23;Black;Never-married;Bachelors;United-States;Non-Government;Sales;<=50K
Male;23;Black;Never-married;Some-college;United-States;Non-Government;Handlers-cleaners;<=50K
Female;24;Black;Never-married;11th;United-States;Non-Government;Other-service;<=50K
Female;24;Black;Never-married;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Female;24;Black;Never-married;Some-college;United-States;Government;Adm-clerical;<=50K
Female;24;Black;Never-married;Some-college;United-States;Non-Government;Machine-op-inspct;<=50K
Male;24;Black;Never-married;10th;Haiti;Government;Craft-repair;<=50K
Male;24;Black;Never-married;HS-grad;United-States;Non-Government;Machine-op-inspct;<=50K
Female;25;Black;Never-married;11th;United-States;Non-Government;Machine-op-inspct;<=50K
